iter	Passed	Remaining
235	848	2747
236	852	2743
237	855	2739
238	858	2733
239	861	2728
240	864	2723
241	868	2719
242	871	2714
243	874	2710
244	877	2705
245	881	2701
246	884	2697
247	887	2691
248	890	2686
249	893	2681
250	896	2675
251	899	2669
252	902	2664
253	905	2659
254	907	2652
255	910	2647
256	914	2642
257	916	2636
258	919	2630
259	922	2625
260	925	2620
261	928	2616
262	931	2610
263	934	2605
264	937	2599
265	939	2593
266	942	2588
267	946	2584
268	949	2580
269	953	2577
270	956	2573
271	959	2568
272	962	2564
273	966	2559
274	969	2554
275	971	2549
276	974	2543
277	977	2538
278	980	2533
279	983	2528
280	986	2523
281	988	2518
282	991	2512
283	994	2507
284	997	2503
285	1000	2498
286	1003	2493
287	1006	2488
288	1010	2485
289	1013	2481
290	1017	2478
291	1020	2475
292	1024	2472
293	1028	2468
294	1031	2463
295	1033	2458
296	1036	2454
297	1039	2449
298	1043	2445
299	1046	2441
300	1048	2435
301	1052	2431
302	1054	2425
303	1057	2421
304	1060	2416
305	1063	2411
306	1066	2407
307	1069	2402
308	1072	2397
309	1075	2393
310	1078	2388
311	1080	2383
312	1083	2378
313	1086	2373
314	1089	2368
315	1092	2364
316	1095	2359
317	1098	2355
318	1101	2351
319	1104	2347
320	1107	2343
321	1110	2338
322	1113	2333
323	1116	2329
324	1119	2324
325	1121	2319
326	1124	2314
327	1127	2310
328	1131	2307
329	1134	2302
330	1137	2298
331	1140	2295
332	1144	2291
333	1147	2287
334	1150	2284
335	1154	2280
336	1157	2277
337	1160	2273
338	1163	2269
339	1167	2265
340	1170	2261
341	1173	2258
342	1176	2254
343	1180	2250
344	1183	2246
345	1185	2241
346	1189	2237
347	1192	2234
348	1195	2230
349	1198	2226
350	1202	2222
351	1205	2218
352	1208	2214
353	1211	2210
354	1214	2206
355	1217	2202
356	1220	2198
357	1223	2194
358	1226	2190
359	1229	2186
360	1233	2182
361	1236	2178
362	1239	2175
363	1242	2170
364	1245	2166
365	1248	2162
366	1251	2158
367	1254	2154
368	1257	2151
369	1261	2147
370	1264	2143
371	1266	2138
372	1269	2134
373	1273	2130
374	1276	2126
375	1279	2122
376	1282	2118
377	1285	2114
378	1288	2110
379	1290	2106
380	1293	2101
381	1296	2097
382	1299	2093
383	1302	2088
384	1305	2084
385	1307	2080
386	1310	2075
387	1313	2071
388	1316	2067
389	1319	2063
390	1322	2059
391	1324	2054
392	1327	2050
393	1330	2046
394	1333	2042
395	1337	2039
396	1340	2035
397	1342	2031
398	1345	2027
399	1348	2022
400	1352	2019
401	1355	2015
402	1358	2012
403	1361	2008
404	1364	2004
405	1367	2000
406	1370	1997
407	1373	1993
408	1376	1989
409	1379	1985
410	1383	1982
411	1386	1978
412	1389	1974
413	1392	1970
414	1395	1966
415	1398	1963
416	1401	1959
417	1404	1955
418	1407	1951
419	1410	1947
420	1413	1944
421	1417	1941
422	1420	1937
423	1423	1933
424	1426	1929
425	1429	1925
426	1432	1922
427	1435	1918
428	1438	1915
429	1441	1911
430	1444	1907
431	1447	1903
432	1451	1900
433	1454	1896
434	1457	1892
435	1459	1888
436	1462	1884
437	1466	1881
438	1470	1878
439	1473	1875
440	1475	1870
441	1478	1866
442	1481	1862
443	1484	1858
444	1487	1855
445	1490	1851
446	1493	1848
447	1497	1844
448	1500	1841
449	1503	1837
450	1506	1834
451	1509	1830
452	1512	1826
453	1516	1823
454	1519	1819
455	1522	1816
456	1525	1812
457	1528	1808
458	1531	1805
459	1534	1801
460	1538	1798
461	1541	1794
462	1544	1791
463	1547	1787
464	1550	1784
465	1553	1780
466	1556	1776
467	1558	1772
468	1561	1768
469	1565	1764
470	1567	1760
471	1570	1757
472	1573	1753
473	1576	1749
474	1579	1745
475	1582	1742
476	1585	1738
477	1588	1734
478	1591	1730
479	1594	1727
480	1597	1724
481	1600	1720
482	1603	1716
483	1606	1712
484	1609	1709
485	1613	1706
486	1616	1702
487	1619	1698
488	1622	1695
489	1626	1692
490	1629	1689
491	1632	1685
492	1635	1681
493	1638	1678
494	1641	1674
495	1645	1671
496	1648	1668
497	1652	1665
498	1655	1662
499	1658	1658
500	1662	1656
501	1666	1652
502	1669	1649
503	1672	1646
504	1675	1642
505	1679	1639
506	1682	1636
507	1685	1632
508	1688	1628
509	1691	1625
510	1694	1621
511	1697	1618
512	1700	1614
513	1703	1610
514	1706	1606
515	1709	1603
516	1712	1599
517	1715	1596
518	1718	1592
519	1722	1589
520	1724	1585
521	1728	1582
522	1731	1579
523	1734	1575
524	1737	1572
525	1741	1569
526	1743	1565
527	1746	1561
528	1749	1557
529	1752	1553
530	1755	1550
531	1758	1547
532	1762	1544
533	1765	1541
534	1769	1537
535	1772	1534
536	1775	1531
537	1779	1527
538	1782	1524
539	1785	1520
540	1788	1517
541	1791	1513
542	1794	1510
543	1797	1506
544	1800	1503
545	1803	1499
546	1807	1496
547	1810	1493
548	1813	1489
549	1816	1486
550	1819	1482
551	1822	1478
552	1825	1475
553	1828	1471
554	1831	1468
555	1834	1464
556	1837	1461
557	1840	1458
558	1843	1454
559	1847	1451
560	1850	1447
561	1853	1444
562	1856	1440
563	1859	1437
564	1862	1433
565	1865	1430
566	1867	1426
567	1871	1423
568	1874	1419
569	1877	1416
570	1880	1412
571	1883	1409
572	1886	1405
573	1889	1402
574	1892	1398
575	1895	1395
576	1898	1392
577	1901	1388
578	1904	1384
579	1907	1381
580	1910	1377
581	1913	1374
582	1916	1370
583	1919	1367
584	1922	1363
585	1925	1360
586	1928	1357
587	1931	1353
588	1934	1349
589	1937	1346
590	1940	1342
591	1943	1339
592	1946	1335
593	1949	1332
594	1952	1329
595	1955	1325
596	1958	1321
597	1961	1318
598	1964	1314
599	1967	1311
600	1970	1308
601	1973	1304
602	1976	1301
603	1979	1297
604	1982	1294
605	1985	1290
606	1988	1287
607	1990	1283
608	1994	1280
609	1997	1277
610	2000	1273
611	2004	1270
612	2007	1267
613	2010	1263
614	2013	1260
615	2015	1256
616	2019	1253
617	2021	1249
618	2024	1246
619	2027	1242
620	2030	1239
621	2034	1236
622	2037	1232
623	2040	1229
624	2043	1225
625	2046	1222
626	2049	1219
627	2053	1216
628	2055	1212
629	2058	1209
630	2061	1205
631	2065	1202
632	2068	1199
633	2071	1195
634	2074	1192
635	2077	1189
636	2081	1186
637	2084	1182
638	2087	1179
639	2090	1176
640	2093	1172
641	2097	1169
642	2100	1166
643	2103	1162
644	2106	1159
645	2109	1155
646	2112	1152
647	2115	1149
648	2118	1145
649	2121	1142
650	2124	1138
651	2127	1135
652	2130	1131
653	2133	1128
654	2136	1125
655	2139	1122
656	2142	1118
657	2145	1115
658	2149	1112
659	2152	1108
660	2155	1105
661	2158	1101
662	2161	1098
663	2164	1095
664	2167	1091
665	2170	1088
666	2173	1084
667	2176	1081
668	2179	1078
669	2182	1075
670	2185	1071
671	2189	1068
672	2192	1065
673	2195	1061
674	2198	1058
675	2202	1055
676	2205	1052
677	2208	1048
678	2211	1045
679	2214	1042
680	2217	1038
681	2220	1035
682	2223	1031
683	2226	1028
684	2229	1025
685	2232	1021
686	2234	1018
687	2237	1014
688	2240	1011
689	2243	1007
690	2246	1004
691	2249	1001
692	2252	997
693	2255	994
694	2258	990
695	2261	987
696	2264	984
697	2268	981
698	2271	977
699	2274	974
700	2277	971
701	2280	968
702	2283	964
703	2286	961
704	2289	957
705	2292	954
706	2295	951
707	2298	947
708	2301	944
709	2304	941
710	2307	937
711	2310	934
712	2313	931
713	2316	927
714	2319	924
715	2322	921
716	2325	917
717	2328	914
718	2331	911
719	2334	907
720	2336	904
721	2339	900
722	2342	897
723	2346	894
724	2349	891
725	2352	887
726	2355	884
727	2358	881
728	2362	878
729	2365	874
730	2368	871
731	2371	868
732	2374	864
733	2377	861
734	2381	858
735	2384	855
736	2387	851
737	2390	848
738	2393	845
739	2396	841
740	2399	838
741	2402	835
742	2405	832
743	2408	828
744	2412	825
745	2415	822
746	2418	819
747	2421	815
748	2424	812
749	2428	809
750	2431	806
751	2434	802
752	2437	799
753	2440	796
754	2443	792
755	2446	789
756	2449	786
757	2452	782
758	2455	779
759	2458	776
760	2461	772
761	2464	769
762	2467	766
763	2470	763
764	2473	759
765	2477	756
766	2480	753
767	2483	750
768	2486	746
769	2489	743
770	2493	740
771	2496	737
772	2499	733
773	2502	730
774	2505	727
775	2508	724
776	2511	720
777	2514	717
778	2517	714
779	2520	711
780	2524	707
781	2527	704
782	2530	701
783	2533	697
784	2536	694
785	2539	691
786	2542	688
787	2545	684
788	2549	681
789	2551	678
790	2555	675
791	2558	671
792	2561	668
793	2565	665
794	2568	662
795	2571	659
796	2574	655
797	2578	652
798	2580	649
799	2583	645
800	2587	642
801	2590	639
802	2594	636
803	2597	633
804	2600	629
805	2603	626
806	2606	623
807	2609	619
808	2612	616
809	2615	613
810	2617	610
811	2621	606
812	2625	603
813	2628	600
814	2630	597
815	2633	593
816	2635	590
817	2639	587
818	2642	583
819	2645	580
820	2648	577
821	2651	574
822	2654	570
823	2657	567
824	2660	564
825	2663	561
826	2666	557
827	2669	554
828	2672	551
829	2675	548
830	2678	544
831	2681	541
832	2684	538
833	2688	535
834	2691	531
835	2694	528
836	2697	525
837	2700	522
838	2703	518
839	2706	515
840	2709	512
841	2712	509
842	2715	505
843	2718	502
844	2722	499
845	2725	496
846	2728	492
847	2731	489
848	2734	486
849	2737	483
850	2741	479
851	2744	476
852	2748	473
853	2752	470
854	2755	467
855	2758	464
856	2764	461
857	2768	458
858	2772	455
859	2777	452
860	2781	448
861	2784	445
862	2788	442
863	2792	439
864	2795	436
865	2798	433
866	2801	429
867	2805	426
868	2808	423
869	2812	420
870	2815	417
871	2819	413
872	2822	410
873	2825	407
874	2828	404
875	2832	400
876	2835	397
877	2838	394
878	2841	391
879	2844	387
880	2847	384
881	2851	381
882	2854	378
883	2857	374
884	2861	371
885	2864	368
886	2867	365
887	2870	362
888	2874	358
889	2876	355
890	2879	352
891	2882	349
892	2885	345
893	2889	342
894	2892	339
895	2895	336
896	2898	332
897	2902	329
898	2905	326
899	2907	323
900	2910	319
901	2913	316
902	2917	313
903	2920	310
904	2922	306
905	2925	303
906	2928	300
907	2931	297
908	2934	293
909	2937	290
910	2940	287
911	2942	283
912	2946	280
913	2949	277
914	2951	274
915	2954	270
916	2957	267
917	2960	264
918	2964	261
919	2967	258
920	2970	254
921	2973	251
922	2976	248
923	2979	245
924	2983	241
925	2986	238
926	2989	235
927	2992	232
928	2995	228
929	2998	225
930	3001	222
931	3004	219
932	3007	215
933	3010	212
934	3014	209
935	3017	206
936	3020	203
937	3024	199
938	3027	196
939	3030	193
940	3034	190
941	3037	186
942	3040	183
943	3043	180
944	3046	177
945	3049	174
946	3052	170
947	3055	167
948	3058	164
949	3061	161
950	3064	157
951	3067	154
952	3070	151
953	3073	148
954	3076	144
955	3080	141
956	3083	138
957	3086	135
958	3089	132
959	3092	128
960	3095	125
961	3098	122
962	3101	119
963	3105	115
964	3108	112
965	3112	109
966	3115	106
967	3118	103
968	3121	99
969	3124	96
970	3127	93
971	3130	90
972	3133	86
973	3136	83
974	3139	80
975	3143	77
976	3146	74
977	3149	70
978	3153	67
979	3156	64
980	3159	61
981	3162	57
982	3165	54
983	3168	51
984	3171	48
985	3174	45
986	3178	41
987	3181	38
988	3184	35
989	3187	32
990	3190	28
991	3194	25
992	3197	22
993	3200	19
994	3203	16
995	3206	12
996	3209	9
997	3213	6
998	3216	3
999	3219	0
